iter	Passed	Remaining
0	6037	6030964
1	11183	5580550
2	17303	5750611
3	20221	5035253
4	25602	5094802
5	30823	5106412
6	35546	5042459
7	40802	5059456
8	46131	5079584
9	51349	5083551
10	56418	5072546
11	61819	5089772
12	66977	5085144
13	72037	5073490
14	77105	5063267
15	82328	5063220
16	87445	5056414
17	92554	5049388
18	97303	5023948
19	102677	5031179
20	107916	5030956
21	113672	5053243
22	119205	5063630
23	124147	5048644
24	129565	5053066
25	134687	5045611
26	139909	5041924
27	145152	5038856
28	150404	5035965
29	155614	5031539
30	160896	5029325
31	166220	5028174
32	171372	5021725
33	176626	5018272
34	182158	5022382
35	187328	5016251
36	192518	5010671
37	197734	5005810
38	202951	5000923
39	208466	5003205
40	213661	4997600
41	219022	4995805
42	224043	4986277
43	229132	4978418
44	234388	4974249
45	239824	4973757
46	245302	4973905
47	250909	4976378
48	256463	4977487
49	261594	4970291
50	267118	4970497
51	272671	4971010
52	277873	4965019
53	283730	4970543
54	289103	4967323
55	294188	4959175
56	299588	4956357
57	304929	4952473
58	310591	4953669
59	315913	4949313
60	321193	4944279
61	326860	4945082
62	332072	4938919
63	337549	4936657
64	343060	4934792
65	348422	4930703
66	353893	4928100
67	359139	4922321
68	364807	4922260
69	370318	4919948
70	375872	4918104
71	381030	4911064
72	386349	4906113
73	391504	4899092
74	396634	4891828
75	401842	4885561
76	407037	4879162
77	412379	4874541
78	418001	4873154
79	423465	4869849
80	428730	4864242
81	433860	4857115
82	439029	4850479
83	444582	4848061
84	449911	4843167
85	455127	4837050
86	460044	4827819
87	465286	4822055
88	470976	4820895
89	476181	4814720
90	481496	4809677
91	487114	4807609
92	492606	4804239
93	497754	4797501
94	503180	4793452
95	508998	4793067
96	514443	4789100
97	519888	4785096
98	525476	4782370
99	530715	4776441
100	536177	4772512
101	541449	4766877
102	546878	4762620
103	552471	4759752
104	557985	4756162
105	563401	4751710
106	568740	4746589
107	574619	4745929
108	579986	4740994
109	585402	4736436
110	591047	4733702
111	596470	4729155
112	601662	4722787
113	606982	4717426
114	612453	4713230
115	617799	4708054
116	623364	4704533
117	628532	4698012
118	633860	4692696
119	639556	4690083
120	645029	4685796
121	650623	4682352
122	655998	4677319
123	661215	4671164
124	666579	4666054
125	672247	4663048
126	677597	4657816
127	682753	4651256
128	688461	4648449
129	693664	4642219
130	698937	4636463
131	704476	4632465
132	709856	4627411
133	715163	4621879
134	720422	4616038
135	725639	4609947
136	731170	4605839
137	736413	4599918
138	741455	4592758
139	746783	4587382
140	752479	4584255
141	757818	4578933
142	763277	4574325
143	769107	4571916
144	774687	4567982
145	780529	4565562
146	785983	4560842
147	791579	4556931
148	796914	4551504
149	802311	4546434
150	807838	4542083
151	813397	4537902
152	818775	4532695
153	824003	4526666
154	829182	4520382
155	834625	4515535
156	840111	4510918
157	845422	4505352
158	850675	4499485
159	856026	4494141
160	861505	4489462
161	867472	4487298
162	872707	4481325
163	877966	4475487
164	883232	4469693
165	888810	4465469
166	894228	4460431
167	899907	4456684
168	905625	4453103
169	910980	4447727
170	916368	4442512
171	921894	4437959
172	927520	4433867
173	932877	4428486
174	938223	4423055
175	943629	4417900
176	949055	4412842
177	954403	4407415
178	959554	4401087
179	965372	4397808
180	970897	4393176
181	976394	4388412
182	981726	4382897
183	987188	4377966
184	992497	4372353
185	997678	4366186
186	1003230	4361637
187	1008549	4356076
188	1013928	4350773
189	1019620	4346804
190	1024958	4341315
191	1030859	4338201
192	1036345	4333320
193	1041759	4328132
194	1047247	4323251
195	1052820	4318713
196	1058209	4313412
197	1063591	4308083
198	1068929	4302577
199	1074509	4298038
200	1079647	4291734
201	1085078	4286598
202	1090568	4281689
203	1096215	4277390
204	1101758	4272674
205	1107192	4267526
206	1112548	4262083
207	1117914	4256673
208	1123355	4251551
209	1128731	4246181
210	1134085	4240727
211	1139248	4234564
212	1144813	4229897
213	1150000	4223835
214	1155442	4218710
215	1160876	4213553
216	1166437	4208848
217	1171727	4203169
218	1177108	4197816
219	1182340	4191936
220	1187835	4186985
221	1193177	4181495
222	1198562	4176155
223	1202945	4167345
224	1208208	4161608
225	1211927	4150582
226	1217244	4145064
227	1222441	4139143
228	1227698	4133428
229	1233117	4128263
230	1238702	4123646
231	1244232	4118837
232	1249610	4113524
233	1255059	4108443
234	1260584	4103603
235	1265998	4098400
236	1271415	4093208
237	1276704	4087600
238	1282173	4082568
239	1287531	4077183
240	1293337	4073207
241	1299057	4068947
242	1304360	4063378
243	1309913	4058585
244	1314737	4051537
245	1320450	4047235
246	1325758	4041683
247	1331566	4037651
248	1336799	4031874
249	1342215	4026646
250	1347387	4020689
251	1352906	4015770
252	1358556	4011231
253	1363639	4005018
254	1368925	3999409
255	1374148	3993618
256	1379468	3988113
257	1384786	3982602
258	1390026	3976869
259	1395354	3971393
260	1400740	3966080
261	1406246	3961106
262	1411435	3955239
263	1416836	3949967
264	1422411	3945180
265	1427832	3939959
266	1433100	3934316
267	1438591	3929287
268	1444086	3924263
269	1449502	3919024
270	1454754	3913343
271	1460135	3908010
272	1465549	3902763
273	1470858	3897238
274	1476048	3891399
275	1481139	3885309
276	1487276	3881953
277	1493126	3877831
278	1498197	3871684
279	1503586	3866366
280	1509145	3861478
281	1514784	3856791
282	1520037	3851119
283	1525525	3846042
284	1530893	3840663
285	1536373	3835562
286	1541644	3829939
287	1546782	3823990
288	1552627	3819785
289	1558148	3814776
290	1563370	3809037
291	1569000	3804288
292	1574419	3799025
293	1579595	3793177
294	1584810	3787427
295	1590089	3781835
296	1595458	3776455
297	1600923	3771303
298	1606403	3766184
299	1611825	3760925
300	1617191	3755536
301	1623126	3751465
302	1628506	3746103
303	1633950	3740885
304	1639207	3735243
305	1644657	3730040
306	1650112	3724846
307	1655483	3719463
308	1660952	3714298
309	1666387	3709057
310	1671420	3702922
311	1676731	3697408
312	1682074	3691966
313	1687915	3687610
314	1693139	3681907
315	1698385	3676252
316	1703783	3670927
317	1708994	3665202
318	1714408	3659913
319	1720060	3655128
320	1725514	3649920
321	1730933	3644637
322	1736211	3639056
323	1741523	3633549
324	1747021	3628430
325	1752833	3623956
326	1758160	3618476
327	1763422	3612864
328	1768696	3607281
329	1774290	3602348
330	1779679	3596995
331	1785138	3591784
332	1790565	3586507
333	1796075	3581395
334	1801448	3576009
335	1806457	3569904
336	1811876	3564612
337	1817567	3559851
338	1823179	3554930
339	1828517	3549475
340	1833394	3543128
341	1838892	3537987
342	1844158	3532397
343	1849483	3526922
344	1854659	3521164
345	1860127	3515963
346	1865313	3510229
347	1870687	3504851
348	1876219	3499768
349	1882221	3495554
350	1887558	3490101
351	1893119	3485060
352	1898479	3479648
353	1903752	3474078
354	1909003	3468470
355	1914371	3463076
356	1919834	3457853
357	1925237	3452520
358	1930736	3447360
359	1935413	3440735
360	1940930	3435607
361	1946594	3430738
362	1952290	3425920
363	1957562	3420356
364	1962952	3414998
365	1968683	3410233
366	1974154	3405013
367	1979665	3399859
368	1985129	3394624
369	1990428	3389108
370	1995725	3383587
371	2001171	3378322
372	2006530	3372907
373	2012382	3368318
374	2018084	3363474
375	2023610	3358331
376	2029829	3354334
